lind	locus
1740	L5600
1741	L5602
1742	L5604
1743	L5605
1744	L5606
1745	L5609
1746	L5611
1747	L5613
1748	L5614
1749	L5615
1750	L5618
1751	L5620
1752	L5624
1753	L5632
1754	L5634
1755	L5635
1756	L5640
1757	L5648
1758	L5649
1759	L5650
1760	L5652
1761	L5657
1762	L5660
1763	L5663
1764	L5667
1765	L5669
1766	L5680
1767	L5684
1768	L5685
1769	L5687
1770	L5693
1771	L5694
1772	L5695
1773	L5698
1774	L5701
1775	L5702
1776	L5704
1777	L5707
1778	L5709
1779	L5711
1780	L5716
1781	L5717
1782	L5718
1783	L5723
1784	L5725
1785	L5731
1786	L5735
1787	L5737
1788	L5739
1789	L5742
1790	L5752
1791	L5753
1792	L5764
1793	L5779
1794	L5780
1795	L5784
1796	L5792
1797	L5809
1798	L5810
1799	L5811
1800	L5816
1801	L5817
1802	L5821
1803	L5824
1804	L5825
1805	L5832
1806	L5836
1807	L5843
1808	L5847
1809	L5849
1810	L5856
1811	L5857
1812	L5866
1813	L5867
1814	L5876
1815	L5881
1816	L5887
1817	L5888
1818	L5890
1819	L5892
1820	L5894
1821	L5895
1822	L5899
1823	L5901
1824	L5902
1825	L5907
1826	L5908
1827	L5909
1828	L5912
1829	L5913
1830	L5916
1831	L5924
1832	L5932
1833	L5936
1834	L5939
1835	L5950
1836	L5954
1837	L5960
1838	L5961
1839	L5963
1840	L5965
1841	L5971
1842	L5972
1843	L5977
1844	L5978
1845	L5980
1846	L5982
1847	L5987
1848	L5990
1849	L5992
1850	L5996
1851	L5998
1852	L6002
1853	L6004
1854	L6009
1855	L6010
1856	L6012
1857	L6014
1858	L6016
1859	L6017
1860	L6021
1861	L6022
1862	L6027
1863	L6033
1864	L6034
1865	L6040
1866	L6045
1867	L6051
1868	L6053
1869	L6055
1870	L6062
1871	L6065
1872	L6066
1873	L6067
1874	L6070
1875	L6079
1876	L6083
1877	L6086
1878	L6096
1879	L6097
1880	L6098
1881	L6100
1882	L6101
1883	L6104
1884	L6105
1885	L6111
1886	L6112
1887	L6114
1888	L6115
1889	L6118
1890	L6119
1891	L6128
1892	L6130
1893	L6132
1894	L6133
1895	L6136
1896	L6138
1897	L6140
1898	L6143
1899	L6146
1900	L6147
1901	L6148
1902	L6151
1903	L6155
1904	L6157
1905	L6160
1906	L6163
1907	L6166
1908	L6167
1909	L6169
1910	L6178
1911	L6179
1912	L6180
1913	L6181
1914	L6182
1915	L6184
1916	L6187
1917	L6189
1918	L6194
1919	L6195
1920	L6199
1921	L6200
1922	L6201
1923	L6202
1924	L6204
1925	L6207
1926	L6213
1927	L6216
1928	L6222
1929	L6229
1930	L6233
1931	L6243
1932	L6244
1933	L6250
1934	L6251
1935	L6256
1936	L6263
1937	L6267
1938	L6270
1939	L6273
1940	L6275
1941	L6277
1942	L6280
1943	L6283
1944	L6287
1945	L6291
1946	L6292
1947	L6296
1948	L6301
1949	L6303
1950	L6304
1951	L6308
1952	L6312
1953	L6316
1954	L6317
1955	L6328
1956	L6345
1957	L6349
1958	L6350
1959	L6355
1960	L6356
1961	L6358
1962	L6359
1963	L6360
1964	L6364
1965	L6365
1966	L6368
1967	L6369
1968	L6373
1969	L6374
1970	L6379
1971	L6381
1972	L6383
1973	L6385
1974	L6386
1975	L6388
1976	L6392
1977	L6394
1978	L6395
1979	L6396
1980	L6402
1981	L6405
1982	L6407
1983	L6408
1984	L6409
1985	L6410
1986	L6413
1987	L6414
1988	L6416
1989	L6420
1990	L6425
1991	L6429
1992	L6431
1993	L6432
1994	L6434
1995	L6435
1996	L6437
1997	L6438
1998	L6440
1999	L6441
2000	L6442
2001	L6445
2002	L6450
2003	L6452
2004	L6454
2005	L6456
2006	L6461
2007	L6463
2008	L6468
2009	L6470
2010	L6471
2011	L6480
2012	L6482
2013	L6488
2014	L6489
2015	L6491
2016	L6494
2017	L6497
2018	L6498
2019	L6501
2020	L6504
2021	L6507
2022	L6508
2023	L6512
2024	L6514
2025	L6518
2026	L6526
2027	L6529
2028	L6530
2029	L6531
2030	L6532
2031	L6533
2032	L6535
2033	L6536
2034	L6537
2035	L6538
2036	L6543
2037	L6546
2038	L6547
2039	L6549
2040	L6550
2041	L6551
2042	L6552
2043	L6553
2044	L6558
2045	L6562
2046	L6563
2047	L6567
2048	L6572
2049	L6573
2050	L6581
2051	L6585
2052	L6588
2053	L6589
2054	L6596
2055	L6600
2056	L6601
2057	L6602
2058	L6606
2059	L6607
2060	L6608
2061	L6609
2062	L6611
2063	L6617
2064	L6618
2065	L6623
2066	L6624
2067	L6626
2068	L6628
2069	L6629
2070	L6632
2071	L6634
2072	L6646
2073	L6648
2074	L6651
2075	L6656
2076	L6659
2077	L6661
2078	L6662
2079	L6663
2080	L6664
2081	L6665
2082	L6666
2083	L6667
2084	L6668
2085	L6671
2086	L6672
2087	L6675
2088	L6684
2089	L6692
2090	L6693
2091	L6694
2092	L6700
2093	L6702
2094	L6703
2095	L6708
2096	L6709
2097	L6710
2098	L6716
2099	L6717
2100	L6723
2101	L6726
2102	L6728
2103	L6732
2104	L6734
2105	L6736
2106	L6737
2107	L6740
2108	L6744
2109	L6746
2110	L6747
2111	L6749
2112	L6754
2113	L6755
2114	L6756
2115	L6758
2116	L6760
2117	L6762
2118	L6764
2119	L6766
2120	L6768
2121	L6769
2122	L6773
2123	L6775
2124	L6782
2125	L6783
2126	L6784
2127	L6786
2128	L6788
2129	L6789
2130	L6791
2131	L6793
2132	L6796
2133	L6799
2134	L6809
2135	L6811
2136	L6816
2137	L6817
2138	L6830
2139	L6832
2140	L6836
2141	L6838
2142	L6844
2143	L6846
2144	L6853
2145	L6857
2146	L6863
2147	L6864
2148	L6866
2149	L6867
2150	L6872
2151	L6875
2152	L6876
2153	L6880
2154	L6881
2155	L6883
2156	L6890
2157	L6891
2158	L6892
2159	L6894
2160	L6896
2161	L6897
2162	L6898
2163	L6902
2164	L6905
2165	L6910
2166	L6911
2167	L6914
2168	L6918
2169	L6921
2170	L6922
2171	L6923
