pop1	pop2	fst	gst	Gst	GGst	D	lat1	lon1	lat2	lon2	geog_dist	lat_dist	block1	block2	same_block
X06b	X08b	0.8941	0.8001	0.9379	0.9655	0.4689	-23.9575	133.245833	-23.846111	133.454167	24540.8756482924	0.111388999999999	X06	X08	0
X06b	X08u	0.6808	0.5408	0.7509	0.8383	0.3093	-23.9575	133.245833	-23.845833	133.453611	24507.4932675427	0.111667000000001	X06	X08	0
X06b	X10b	0.9207	0.845	0.9444	0.9698	0.4266	-23.9575	133.245833	-23.768056	133.626111	44052.6571096158	0.189443999999998	X06	X10	0
X06b	X10u	0.6458	0.5016	0.7152	0.8103	0.2925	-23.9575	133.245833	-23.768333	133.626389	44062.9257552787	0.189167000000001	X06	X10	0
X06b	X11b1	0.1097	0.0914	0.1196	0.1933	0.0016	-23.9575	133.245833	-23.916858	132.735055	52192.2134568117	0.0406419999999983	X06	X11	0
X06b	X11b2	0.3125	0.2116	0.3082	0.429	0.031	-23.9575	133.245833	-23.916858	132.735055	52192.2134568117	0.0406419999999983	X06	X11	0
X06b	X11b3	0.4436	0.2945	0.4013	0.5375	0.0319	-23.9575	133.245833	-23.916858	132.735055	52192.2134568117	0.0406419999999983	X06	X11	0
X06u	X07b	0.8754	0.7677	0.8921	0.939	0.2773	-23.956944	133.245556	-23.907778	133.330833	10248.112130698	0.0491659999999996	X06	X07	0
X06u	X07u	-0.0085	-0.023	-0.0258	-0.05	-2e-04	-23.956944	133.245556	-23.907778	133.330833	10248.112130698	0.0491659999999996	X06	X07	0
X06u	X08b	0.8972	0.8051	0.9149	0.9529	0.3085	-23.956944	133.245556	-23.846111	133.454167	24534.4329926674	0.110833	X06	X08	0
X06u	X08u	-0.1073	0.0181	0.0242	0.0416	NA	-23.956944	133.245556	-23.845833	133.453611	24500.899107703	0.111111000000001	X06	X08	0
X06u	X10b	0.0154	-0.034	-0.0368	-0.0733	-2e-04	-23.956944	133.245556	-23.768056	133.626111	44048.2600446108	0.188887999999999	X06	X10	0
X06u	X10u	-0.0907	0.0314	0.043	0.0721	2e-04	-23.956944	133.245556	-23.768333	133.626389	44058.5907836938	0.188611000000002	X06	X10	0
X06u	X11b1	0.7542	0.6483	0.8208	0.8913	0.2783	-23.956944	133.245556	-23.916858	132.735055	52158.9527333196	0.0400859999999987	X06	X11	0
X06u	X11b2	0.5167	0.4221	0.5901	0.7117	0.1298	-23.956944	133.245556	-23.916858	132.735055	52158.9527333196	0.0400859999999987	X06	X11	0
X06u	X11b3	0.6293	0.5108	0.671	0.7823	0.1339	-23.956944	133.245556	-23.916858	132.735055	52158.9527333196	0.0400859999999987	X06	X11	0
X07b	X07u	0.8644	0.745	0.8816	0.9321	0.2781	-23.907778	133.330833	-23.907778	133.330833	0	0	X07	X07	1
X07b	X08b	0.0294	-0.0166	-0.0199	-0.0371	-3e-04	-23.907778	133.330833	-23.846111	133.454167	14298.1401390658	0.0616669999999999	X07	X08	0
X07b	X08u	0.6713	0.5823	0.8021	0.8749	0.2495	-23.907778	133.330833	-23.845833	133.453611	14263.213338183	0.0619450000000015	X07	X08	0
X07b	X10b	0.897	0.7823	0.8992	0.9434	0.2834	-23.907778	133.330833	-23.768056	133.626111	33829.5239579506	0.139721999999999	X07	X10	0
X07b	X10u	0.647	0.5639	0.7934	0.8679	0.2473	-23.907778	133.330833	-23.768333	133.626389	33840.6708611822	0.139445000000002	X07	X10	0
X07b	X11b1	0.7415	0.661	0.8798	0.9276	0.3945	-23.907778	133.330833	-23.916858	132.735055	60670.7621564922	-0.00908000000000087	X07	X11	0
X07b	X11b2	0.6466	0.5741	0.8285	0.891	0.3274	-23.907778	133.330833	-23.916858	132.735055	60670.7621564922	-0.00908000000000087	X07	X11	0
X07b	X11b3	0.6921	0.6152	0.8464	0.9049	0.3281	-23.907778	133.330833	-23.916858	132.735055	60670.7621564922	-0.00908000000000087	X07	X11	0
X07u	X08b	0.8852	0.7829	0.9052	0.9468	0.3092	-23.907778	133.330833	-23.846111	133.454167	14298.1401390658	0.0616669999999999	X07	X08	0
X07u	X08u	-0.0374	0.0166	0.0226	0.0386	0	-23.907778	133.330833	-23.845833	133.453611	14263.213338183	0.0619450000000015	X07	X08	0
X07u	X10b	0.0223	-0.0155	-0.0172	-0.0333	-1e-04	-23.907778	133.330833	-23.768056	133.626111	33829.5239579506	0.139721999999999	X07	X10	0
X07u	X10u	-0.018	0.0286	0.0398	0.0665	2e-04	-23.907778	133.330833	-23.768333	133.626389	33840.6708611822	0.139445000000002	X07	X10	0
X07u	X11b1	0.7654	0.6185	0.7993	0.876	0.2705	-23.907778	133.330833	-23.916858	132.735055	60670.7621564922	-0.00908000000000087	X07	X11	0
X07u	X11b2	0.5588	0.399	0.5668	0.6904	0.1251	-23.907778	133.330833	-23.916858	132.735055	60670.7621564922	-0.00908000000000087	X07	X11	0
X07u	X11b3	0.6527	0.4802	0.6436	0.7592	0.1294	-23.907778	133.330833	-23.916858	132.735055	60670.7621564922	-0.00908000000000087	X07	X11	0
X08b	X08u	0.7444	0.6287	0.8354	0.8989	0.2879	-23.846111	133.454167	-23.845833	133.453611	64.4689900701702	0.000278000000001555	X08	X08	1
X08b	X10b	0.9096	0.8178	0.9206	0.9563	0.3128	-23.846111	133.454167	-23.768056	133.626111	19538.225982217	0.0780549999999991	X08	X10	0
X08b	X10u	0.728	0.6103	0.8271	0.8926	0.2861	-23.846111	133.454167	-23.768333	133.626389	19550.0808336957	0.0777780000000021	X08	X10	0
X08b	X11b1	0.8104	0.6974	0.8969	0.9393	0.4211	-23.846111	133.454167	-23.916858	132.735055	73655.6668364658	-0.0707470000000008	X08	X11	0
X08b	X11b2	0.7389	0.6165	0.8542	0.9098	0.3654	-23.846111	133.454167	-23.916858	132.735055	73655.6668364658	-0.0707470000000008	X08	X11	0
X08b	X11b3	0.7816	0.6583	0.871	0.9222	0.3646	-23.846111	133.454167	-23.916858	132.735055	73655.6668364658	-0.0707470000000008	X08	X11	0
X08u	X10b	-0.0017	0.0373	0.049	0.0831	6e-04	-23.845833	133.453611	-23.768056	133.626111	19575.5000830005	0.0777769999999975	X08	X10	0
X08u	X10u	-0.2032	-0.0433	-0.0719	-0.1205	-0.0119	-23.845833	133.453611	-23.768333	133.626389	19587.4624908398	0.0775000000000006	X08	X10	0
X08u	X11b1	0.4425	0.3622	0.5684	0.6832	0.1719	-23.845833	133.453611	-23.916858	132.735055	73602.7250052611	-0.0710250000000023	X08	X11	0
X08u	X11b2	0.2036	0.1801	0.3088	0.4143	0.05	-23.845833	133.453611	-23.916858	132.735055	73602.7250052611	-0.0710250000000023	X08	X11	0
X08u	X11b3	0.2498	0.2334	0.3811	0.4982	0.0593	-23.845833	133.453611	-23.916858	132.735055	73602.7250052611	-0.0710250000000023	X08	X11	0
X10b	X10u	0.0248	0.0508	0.0685	0.1135	0.0016	-23.768056	133.626111	-23.768333	133.626389	41.7638278435551	-0.000276999999996974	X10	X10	1
X10b	X11b1	0.808	0.6672	0.8326	0.8996	0.2872	-23.768056	133.626111	-23.916858	132.735055	92260.3030684704	-0.148802	X10	X11	0
X10b	X11b2	0.6096	0.4442	0.6103	0.7302	0.139	-23.768056	133.626111	-23.916858	132.735055	92260.3030684704	-0.148802	X10	X11	0
X10b	X11b3	0.7099	0.5335	0.6897	0.7977	0.1428	-23.768056	133.626111	-23.916858	132.735055	92260.3030684704	-0.148802	X10	X11	0
X10u	X11b1	0.3852	0.3279	0.528	0.6445	0.1588	-23.768333	133.626389	-23.916858	132.735055	92282.6003844181	-0.148525000000003	X10	X11	0
X10u	X11b2	0.1474	0.1553	0.2729	0.3706	0.0424	-23.768333	133.626389	-23.916858	132.735055	92282.6003844181	-0.148525000000003	X10	X11	0
X10u	X11b3	0.198	0.2112	0.3522	0.4652	0.0536	-23.768333	133.626389	-23.916858	132.735055	92282.6003844181	-0.148525000000003	X10	X11	0
X11b1	X11b2	-0.0996	0.0785	0.1306	0.1938	NA	-23.916858	132.735055	-23.916858	132.735055	0	0	X11	X11	1
X11b1	X11b3	-0.0485	0.1341	0.2102	0.3036	0.0042	-23.916858	132.735055	-23.916858	132.735055	0	0	X11	X11	1
X11b2	X11b3	-0.1739	0.0635	0.1108	0.1639	NA	-23.916858	132.735055	-23.916858	132.735055	0	0	X11	X11	1
